GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info
1748,2023,1,MER,MUR,,,,,0,0,0,0,0,0,0,AI,AI,,Five Star Stadium,Macon,GA,,
1749,2023,1,ALCN,SSU,,,,,0,0,0,0,0,0,0,AI,AI,,Spinks-Casem Stadium,Lorman,MS,,
1750,2023,1,SOU,INST,,,,,0,0,0,0,0,0,0,AI,AI,,A.W. Mumford Stadium,Baton Rouge,LA,,
1751,2023,1,UAPB,EWU,,,,,0,0,0,0,0,0,0,AI,AI,,Simmons Bank Field,Pine Bluff,AR,,
1752,2023,1,TXSO,PRST,,,,,0,0,0,0,0,0,0,AI,AI,,PNC Stadium,Houston,TX,,
1753,2023,1,AAMU,MTST,,,,,0,0,0,0,0,0,0,AI,AI,,Louis Crews Stadium,Huntsville,AL,,
1754,2023,1,JST,NAU,,,,,0,0,0,0,0,0,0,AI,AI,,Burgess-Snow Field at JSU Stadium,Jacksonville,AL,,
1755,2023,1,PRIN,UND,,,,,0,0,0,0,0,0,0,AI,AI,,Princeton Stadium,Princeton,NJ,,
1756,2023,1,MONT,NDSU,,,,,0,0,0,0,0,0,0,AI,AI,,Washington-Grizzly Stadium,Missoula,MT,,
1757,2023,1,COLU,FOR,,,,,0,0,0,0,0,0,0,AI,AI,,Lawrence A. Wien Stadium,New York,NY,,
1758,2023,1,COR,LAF,,,,,0,0,0,0,0,0,0,AI,AI,,Schoellkopf Field,Ithaca,NY,,
1759,2023,1,BUCK,DART,,,,,0,0,0,0,0,0,0,AI,AI,,Christy Mathewson-Memorial Stadium,Lewisburg,PA,,
1760,2023,1,YALE,LEH,,,,,0,0,0,0,0,0,0,AI,AI,,Yale Bowl,New Haven,CT,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,,#N/A,#N/A,#N/A,,
