id,rival_1_id,rival_1_team,rival_2_id,rival_2_team,rivalry_name,trophy_name,rival_1_priority,rival_2_priority
157,,Lafayette,,Lehigh,The Rivalry,,5,5
158,,Lamar,,McNeese,Battle of the Border,,4,4
159,,Louisiana,,Louisiana Monroe,Battle on the Bayou,,5,5
160,,Louisiana,,Lamar,,Sabine Shoe,2,4
161,,Louisiana,,Louisiana Tech,,,5,5
162,,Louisiana,,McNeese,,Cajun Crown,2,4
163,,Louisiana,,SE Louisiana,,Cypress Mug,1,3
164,,Louisiana Tech,,Northwestern State,,,2,3
165,,Louisiana,,Louisiana Monroe,Battle on the Bayou,,5,5
166,,Louisiana Monroe,,Louisiana Tech,,,5,5
167,,Louisiana Monroe,,Northwestern State,,,2,4
168,,Louisville,,Miami (FL),,Schnellenberger Trophy,3,2
169,,Louisville,,Memphis,,,3,4
170,,LSU,,Arkansas,Battle for the Golden Boot,Golden Boot,4,4
171,,LSU,,Alabama,First Saturday in November,,4,4
172,,LSU,,Auburn,Tiger Bowl,,4,4
173,,LSU,,Ole Miss,Magnolia Bowl,Magnolia Bowl Trophy,3,3
174,,LSU,,Tulane,Battle for the Rag,Tiger Rag,2,4
175,,LSU,,Ole Miss,Magnolia Bowl,,1,3
176,,LSU,,Texas A&M,,,4,4
177,,Maine,,New Hampshire,Battle for Brice-Cowell Musket,,5,5
